Senior Software Engineer,Vertex Solutions,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dyig9uXexE_opy7YU-UWhYaiQHIxWtw1IR-EmCtDUS7mfQbsURbnMAm-wQGuAHv1McIMliEgoblK5X86JLyoZpe2m8GlRvT0pPuKmonqr3Lb5pJ4n6UVGNuOXXjCxVANfQ21KD-dhBHTNrEqQNZrdxlWDODKSrD-Kv82HsCNQ-UGnj0v7jBv6EIZCmUBBenXcM5qpK4u-1UhEwV4oL03NaGKHRcgwfCe78qrlbrSVxgdVKUAN7msVjD6aaWMGOvbW78315ku7RFtUKB0_6JD4dQ1wdLcvVNInfBJpft6YyxjfUKlFsdEQkmf6lEjBgvIo62_6VvI95MLBV4sROwsH0cEfubYK_TihDfjG15NcKD39phkj0PuCJPVcbDNxn7vg3fHG3XwWoDLkhxaCpSF42PCrOxMsqaUtObYXWUFdIovvetBpBn19Qq0fol24zt6k82VhgsqMkyTKmGivY3dfv2w3AFhqdxm-giDtU40QuUZF18gk4wTN5AF-5fxsOdfZVe3myRfIv6aIn380ZfMLWKs421D1LPvpiuAAuymfp0igGJQOKMMbcKDA7eLzB6_uQKjXq255x06FZBwF-0Nh4eihc1HQDCQFysztwpX0s3HQaLhDNcnU5nlr0aLr64_73B9KyHXopcYLxcCAgQqc6jfLywxtoLRXN4JcjdwaAfwl0FBIt-nd-7jp4iC1J7WMuRgkeWB_21d46lYo3vsgz_0A4VcP26zQ=&xkcb=SoD76_M3pmp__gxbpp0LbzkdCdPP&camk=UoKtGZLa3XKOG1VUMXjsLQ==&p=0&fvj=0&vjs=3
Cross-Team Engineering Specialist,Members 1st Federal Credit Union,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7DRyfqonUsYaXau4B2AgIyT7eykTvOC1cfDKIYVFgQY1LAtdQ6QSTXohP8f5V3m6h-XS0zHIBq7f5xUKD6gkcP0z_jX7K-M8Q0rBB4ymg49HiIGcZS96mSNId9hAjQRB9rTv_shfPyudK3_4DXdxa-4duHnxx7S7bUa1SqERL0qf5e_Y1p1J1PiRxyjubJH8J6HtoZCBsU_bgbAHGN4wWMbir0krKFhSMExiz4iV8KUCCbW8Q4RRcWbxQMIVIH1bMR3WPI3SvK5KUAdyqzHjBzDQe43EQRYmvbDiuvtSHkszefu2o41aQkrkCBCXRa6SsvQGxrP01dE-XfitcibWmktFsUXXfrgR9a61OwF7vBXpVUuc8VxhtCRufk9pIV3iMSayFPvT7Z2PHsbDT6EDMGWMGsQ8Ys31ForFgoBEE6oRQQjxlg7OCP3QpCrOljhNQGFk7MxhsXe2xleE10gmb6Fne8FMHmxUJQ1WpuQScZfnxWzUJhJobovM_-tgpl4Tn1KEoJzOT4qvxzAmr0SrMNzyr53LoKat1RrqyMQeKWCH2E30_z9McWUD4DHGMAIPJKEvBI7rTAIaG4w0yE07aY6rrowJxV7urPVukq9DyNDWmwMQfA0bwIj6wzgRHtemXTHU7FN2r0pVEKM0MGzxSFKVIJ_WskQp_U3fOpXLtTvFZvqM8NrAGhN3WPs6-l80LOF5B0w1U3fSLXV489UeAkax6GrGaKw_Lq-ue5_cdYeDywHWv9dY-Uvi-9C8hwiLL1VrMd4N5H4QqeF0ncTQpwqAVq3VSi1GfII0xKOwLqSi8_42TZi1p5wnwfpL_Y-Vzu68MSp-BYufwQuu-3iwfV2YdDQv-se2EXOJldm-TR2P7yaJRbUjO5ahZ9Puzp6k=&xkcb=SoBP6_M3pmp__gxbpp0KbzkdCdPP&camk=NFVmwABINBJq9sziT_bOEA==&p=1&fvj=0&vjs=3
,,https://www.indeed.com/viewjob?jk=789abcdef0123456
Teamcenter Developer,OPUSING STAFFING,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D74L1sggDuAEguGh7gIFAzIZzNytrPcxKlgtLkl1f0xrApC4zcQQFTspNG414J_QMvkPEt1Ib6Yp2w-3PU2mxtmd7SLcth_Xw3zWRJ0EaEiTycTpUgR1d4yHuadEnvBpeCL5m89eaTachM6ADkQr-1tPWNu5u5CDgQ0wJzGFhMV7YS8rImbWAtUNeHjonhglFuJqAQTbpdEbLz9_pklznIPHHeP3tQnIr1tLNtOuhjxiW5ZQP5i-xoC2o897ipOdVnvBBebeay6pV9OKT6k47F6AIfsy9uNKHX4lBoE5D-TYMdNHE1_Yt4i9pcPr5v_NHwqE5GMtr3ZH_FgtLTb6aIn8YeVIoTrQscrQxR_Ts2YQ-f-KaOsN0hIWHg3mE36KMhjLanIYguSMFPCdu6xI-FOjLr674Lk5nlRo8wxl4r9_ICHmSw4848atPZDSWbU8Q1r6jwMwCAoq0cCgOO5x8LUhCFAz80BK_frkkZG3_a69yGOfmeMT2cgJOj7qvoKigWFrHX4efcAF36IWkUtrP-7kha85WdIs0dvtBpVbeacm5xKmA2dpc6i2XoTSVVg5bkkYd0r77w5Fe2fNX_lte6fdOBA1O1eiRBjnZp1icKbgJ0ugz_EnyjMG6R5Rqji4R4g7Foacmxug0lfuRmXed3rQHx5Zii6bGrwIfPhyMxYQ==&xkcb=SoDS6_M3pmp__gxbpp0JbzkdCdPP&camk=H-lBaXMUocLp_SdcYN-4-w==&p=2&fvj=0&vjs=3
React Native Developer - Contract,Emergent Software,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAezr-5Y981Z1DAlqNgxc_oBTCqSWb7n6OEBzxh4A7sDODh5W43sa2DDEfXOWT2y4Neb3hp9_0UJ1eOft5jcweqIptayacLhJddrHjrfzhBKM-zRcl5jDYCId0YljbQ88zltslnwZNhsH70AZEf8bVfVPGpT9J9EeuZuXl4zKlWi6JtUJJ1QzWM9UfDxHurwlRnDrdkE-OXvFkur2IBZKHFs72YUCADCANVah9jB18_ppJbN4S3-djBHOeio5A_WRUH7Jt8OQbtFsz6yoJeTgRm2Ldd4R2bG03l4hqCIgHNAME_GF4aD5ClPf6mK5sh-I_a-TZUNDKYcSVNeDHsJ75NWXAnFdSH3pbAQUCeQQbMXsALRiqJ93lae3MKJfmEtTqE4246oHVo0-3n8NmYE9MuWKNYqYcLUTf-JPafFscDJir7Y0k6AamkErkdVBVVjuHp5DF4eaQAT7PV5U4g9llsmUF-acx-Gzh4zEtRCLNFlAUvVWywPHifDIRQWs1D7JoP0nf1C1jIG4CFx1L969ezKeVS_WfV-Bno7LnRkmalIu5fchlkLErLolgCa4uY7J385uqxlaUJvbyYrxYx4ISoXLepjtrdRp7zdinxX2OmNE2yG5vxxop9oK1Nr0ankK5qb8FgOR0nh8wQYMG-1SndrI5aKcmeC1OK0S8roDR7zwDmMDvfu6sNTnynoOFGJ4V5aR4fZC0eQFr7Ug9vVC5zM2SUG60qS_Tokr8o94frf5bn0Is_aCDU5IPqGbtYiiq_Gh2iT5oWw==&xkcb=SoBm6_M3pmp__gxbpp0IbzkdCdPP&camk=UoKtGZLa3XKVSVYusq0rVQ==&p=3&fvj=0&vjs=3
Software Design Engineer,OM Group Inc.,https://www.indeed.com/rc/clk?jk=5e4bb69ec620e31d&bb=8lTGwJNamVa6gF9_BzPG2Uzb0JKwJnREAKF9Y6G51Jb1Os_j0wB7jqFxnm8JkGMf8xkOi2cy8JhJKe9Hy19Fw-Xvuw426UwfHGsd8cOTeueTc6DFCLnnCY2ZelXmVd4VtQ5QyDwSowKk82XJ2qQsig%3D%3D&xkcb=SoAc67M3pmp__gxbpp0PbzkdCdPP&fccid=b7dc0a32cb270ce7&vjs=3
Software Engineer,Covera Health,https://www.indeed.com/rc/clk?jk=5becccf92540cc6a&bb=8lTGwJNamVa6gF9_BzPG2XVq4VmhsyHvyeXHR26XBBaE4DxM7pcNJBdRvu3dyNUOW5g60Nfs0Le6KE9ciu_fqN53CbROIMdJYuQjtNmAK_pUsO7mQHBnQoApdPh5n7LgiioRBl8Iu4PLoRYJcML7B87Kq1lSXjoh&xkcb=SoCo67M3pmp__gxbpp0ObzkdCdPP&fccid=0da34673cfff5985&vjs=3
"Senior Software Engineer, Back End - Capital One Software (Remote)",Capital One,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNUFMD4PZ3AunGrII_Xzx8fHIP3KyBvoQwDI2koWc9yrkffVTN_HoAKEKB2TdwehnRf1T5schmkrm5MMpsluytEMFUdS75B00_RcgmkQf4c6WaHShn3TIgJzdqMfVCOxEfOtM428r7TJ_cx52jtrCzI-kFbklLMxb3Rb3Obz4zXTGKvtMpFCIqRo8_XN8R-CTKwPKWj1kHe5DXDT9_Qn9glxiUv8jA9TP6GsAh9JUAGk5o7Of2FRs2SImSqxhqlxywG8WsWgH4e5AdMC4BxX0g9odiOr-n2Q4dN0c-9WpNcaqBNIKRm_p2TwitvHqcaWDZdGJn_ViO1NkBVhSGEIa5nFWr-yVkwp3KtTVCzmTU1u4eibZq6lBIsKDsQCShlZWiifppcePMYb7fPtozgGJedOufgNNm2SCOrb9H0Y6VlrEaFOGbQPOhd-SmyUbQqqBkhYX2UBWyz_BXA9V8aITwl67DqXq6f87yMZGl_ZeKt5OLoLOjxrbP3Ud9x9aHnTxiTUpmmJvVEpK3VwtmUhy63sLMn1BAO77sZHSc2YtTJkcRQC0Kbwkt_HDv0I8C_jfucIVB9h7wQTpBa3_bNrKJ2WQsF4QtrJZhlFpReyVxxHi69fK3YXIExcvZ7QYNA0oWRP_gh5Zw-1-nsFRHNFV34F2krdBByxuLB1ODCEz2eREshgVZrGZxzR_UOMFGYme9NFtRaSkiMCmxNzLbQl42STFGqi3KEepo827wlXLyw3KN561mgRI_alZieTK1mBZth9SIMbXoT-sGIzIlbOojxM=&xkcb=SoDB6_M3pmp__gxbpp0NbzkdCdPP&camk=4HOcmqOLYrAY9i7xfdbs4A==&p=6&fvj=0&vjs=3
Engineering Lead,"Ursus, Inc.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CT8vBT9H5mqECx2dfLV_FONLPDKpIRssxVwtj05Tmm4rA5I0VNOPdM1oYsK66ov5qrVlH0DyGHIxLFXL-tey942MHgkiSNB_l86fqiZVHkcwaPDQdErQR2-1F_lECFTmn5v8GL1uQOretZu6Rsm6SNgfJJB0FCpaf_CNwWt-0XPdC3BwgMEdtgReoCmOHuqKGSZVOq_ZmihRChJvsoTN03S4LSMxxpvAsSDOLOFmVXBBniEo8SEXVDodMN5h3HfrISplZrhwD5PqFkoLvuIK9ltrfuXnNz_VD-WzAizeL2Vw9pAKNZ-T-VGz_MyProXl0iv4LdgeHVvEjJMKcgSsoDi9_6Ej2Xedz2xFA1esBO44l_nTx4D-Cp5teLG2m8scmHMjpYxzKKBziLRM9kC5L_eyigcQWHyEw2KHZUvSMRYzAYb46v0SnEE1oLjB8HJ_SLuhxCkyM7nwGsGGZG6qH9YnMIPKSTxkJlIkh7HgB7it4w7i9tRdb7AXErh4zOZivZ2VM7MJqO6Kpkr1fJg981JEg46cZH3jBX6c9c9VcWLECO0SXnkeXnb0w0s3tbzT90btTMOr727rjK_awFIkSLJPaJbXbjdvVFFM-eJR9lTZS4SxMKHF0sg603g3VF-t6hUH1fQXlNlNmvjmRGKQrxmdx4Y7_JNtbEQ5UNFBN43hGGm7FN4IAxqjzGP4_kx4xB7xrhQZeD1b026urfHFAVkHs3jiz-KxRUs6rEZKNoVg57WSkCXuSIzcwY0XI8y8NoRkmQjSy0tcawQhHCaYU6WWcX6ZhGpiuSja41mRx_n4cN91XOVIbd_4Rz3c4_8cVAMK049SXMtKIEUf50qu_fcIa0dq1zjkp_t5qZzYgLjcjbQktMYuGQzJhhwgsnLOqlebygbaLMDqr2roThPCA_uypQKnNYRF02LIR8tlrieZoaBSW5gZtvlpwiDXcz2CVt7yrDDBv5IWvTyD7iHGvgk7qnWZVN4mqAESE6kgGES1l-J8OGy46hzhNoVmZInpcnMqUSh9C_UQ0YozTorUBDEtDs_5BcpHbswtbZ4hZIoGtFT00r52rSFuYcpIrepe6UE5dacZasXdQ-QDDGQAQ0UuK9JNduh_NpbAy0mnCWXTEHekmhi-xfwkReSMKzogDslyvGDaBEPc6NNsHQKhK2sEKieSMfjoM=&xkcb=SoB16_M3pmp__gxbpp0MbzkdCdPP&camk=xqnMBGaf-K-RZIWk880Pcw==&p=7&fvj=0&vjs=3
DevOps Engineer,Q-Free America,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BYpqCxxQIBsEH3U5XisYR0T74jzdDSrhUG5Oponyc6ALZWakRWkVFCucbv2C5odyFdQUBCE9yUTib0lDTkcrAxE-GP0i1atzKOijzGH5NZpHEAWMtrhip533I32U_0Jc2f2ldH8sikRlAcKfAsQVNkkkxLl10FWKhMleyJWHIeHBvZzSmD4Zoiev-H7-U6KZhQZWS2KJqRQDq3zuO0CEdCRs2mnwW7Dw1Yb9SZLygKQZEv10N3JCxBPEO7IYqmJPrWICrYMvDun7kfpqvsabEU1iv46QL5-MEvjinjXvQzzrJRJRhgHwaJ2HHWrMh2FR3TEdiCqXpJnSm3Gy9uf-TxQ0zrUB7qqEwLmMM4mshqcmGHnP3KKfbnnsQETpMS6s6gxF3ZwB0Zgl9Dhcd-kjqIK0dhEGDemWjjYBbNcDH5a_7MP_A82zZm9zIa4yoC_KvDayIZMi9uO8cA-V2lQ84XGrdZZCBvPyP8FKkt_5twvWQvm_3hm36rfvfnoz3t8ca5Y9nfbUXafoJLIxKLQB8yw3MNtrA6E8V_Ojxj70nmh525KhDNkPysNKM5TlFrUjFgM8LTOZYtV4RDsEzXKao9kpkNF0EyBAo_C4RHNwcTzRHf9vPB7-nq2fqx0xmyzq6V0bZ-l6ggmI-ea4q9AX5wH9WRTdgGQfg=&xkcb=SoCc6_M3pmp__gxbpp0DbzkdCdPP&camk=ethIe0s0hecKhALhgfEi1g==&p=8&fvj=0&vjs=3
"Senior Software Engineer, Full Stack (Heavy Frontend)",Connect Staffing and Consulting,https://www.indeed.com/rc/clk?jk=8d05ae068204542d&bb=2gfWf2AG5rHdi1vsjQgDyws-Nn6IHOPbN8DFvtmLollH5KQemmhfeEtDXO91H2zXdNszmweBZHwD8ydOXe-_sIYZ3SbQBeYV_qkf77gFmncMVBnoAobtGtBGOqjFoedMDBtIxdeDzjinMtTYH1JITA%3D%3D&xkcb=SoCv67M3pmp3oLy4RZ0LbzkdCdPP&fccid=ce38e9d1b643f4c6&vjs=3
Java Developer,FLEX / Computer Marketing Corporation,https://www.indeed.com/rc/clk?jk=0d83c4782973dccb&bb=2gfWf2AG5rHdi1vsjQgDy-63JrCw8xUxpfPaPv24JPO-EHbu39SVw-d_eJxbAoxFjH-tOGxP6mZzMytmzpsfst-oeDWI85ltYjvLrQRahe1k7mT-6JVVr7rhRMAYOFZJZC5SpWkTtbxLGi3Iazd5qQ%3D%3D&xkcb=SoAb67M3pmp3oLy4RZ0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Full-Stack Engineer,Cube Dev,https://www.indeed.com/rc/clk?jk=cd1cc262c33b16c8&bb=2gfWf2AG5rHdi1vsjQgDyzrhytxu27CVjEXHXvUwZk4ijuig09-v-DEVc8HqHTOBYnLZZ1m1chgyedDgHQetycz_rlVG7aSMzMfQ0tbO1TFCyVAE8EP01vsp5a-NpiAk2nrDwpi_1Wtufb_3gLsr8g%3D%3D&xkcb=SoCG67M3pmp3oLy4RZ0JbzkdCdPP&fccid=ad14446c70585b2e&vjs=3
